fila,pregunta,codigos
68,q1,inseguridad; deterioro_retroceso
69,q1,inseguridad; economia_costo_de_vida
70,q1,estancamiento; deterioro_retroceso
71,q1,economia_costo_de_vida; desigualdad_pobreza
72,q1,inseguridad; economia_costo_de_vida
73,q1,desigualdad_pobreza; inseguridad
74,q1,inseguridad; servicios_publicos_deficientes
75,q1,estancamiento; economia_costo_de_vida; servicios_publicos_deficientes
76,q1,perdida_de_valores_convivencia; estancamiento
77,q1,estancamiento; inseguridad; desigualdad_pobreza
78,q1,deterioro_retroceso; inseguridad
79,q1,estancamiento; economia_costo_de_vida; inseguridad
80,q1,deterioro_retroceso; inseguridad; desigualdad_pobreza
81,q1,inseguridad; economia_costo_de_vida
82,q1,estancamiento; economia_costo_de_vida
83,q1,estabilidad_valorada
84,q1,no_clasificable; estancamiento
85,q1,inseguridad; economia_costo_de_vida
86,q1,inseguridad; deterioro_retroceso
87,q1,inseguridad; desigualdad_pobreza; economia_costo_de_vida
88,q1,no_clasificable
89,q1,inseguridad; desigualdad_pobreza; deterioro_retroceso
90,q1,estabilidad_valorada; estancamiento
91,q1,avances_positivos
92,q1,desigualdad_pobreza; servicios_publicos_deficientes; economia_costo_de_vida
93,q1,economia_costo_de_vida; inseguridad; servicios_publicos_deficientes
94,q1,estancamiento; perdida_de_valores_convivencia
95,q1,deterioro_retroceso; inseguridad; desigualdad_pobreza
96,q1,inseguridad; desigualdad_pobreza; economia_costo_de_vida
97,q1,desigualdad_pobreza; inseguridad; economia_costo_de_vida
98,q1,desigualdad_pobreza; economia_costo_de_vida; inseguridad
99,q1,deterioro_retroceso; inseguridad; desigualdad_pobreza
100,q1,economia_costo_de_vida; servicios_publicos_deficientes; desigualdad_pobreza
101,q1,desigualdad_pobreza; economia_costo_de_vida; perdida_de_valores_convivencia
102,q1,economia_costo_de_vida; desigualdad_pobreza
103,q1,no_clasificable
104,q1,inseguridad; economia_costo_de_vida
105,q1,estancamiento; economia_costo_de_vida; avances_positivos
106,q1,desigualdad_pobreza; economia_costo_de_vida; avances_positivos
107,q1,avances_positivos; desigualdad_pobreza
108,q1,deterioro_retroceso; inseguridad
109,q1,inseguridad; desigualdad_pobreza
110,q1,inseguridad; estancamiento
111,q1,deterioro_retroceso; inseguridad; economia_costo_de_vida
112,q1,estabilidad_valorada; avances_positivos
113,q1,desigualdad_pobreza; inseguridad; economia_costo_de_vida
114,q1,economia_costo_de_vida; desigualdad_pobreza
115,q1,desigualdad_pobreza; estancamiento; economia_costo_de_vida
116,q1,no_clasificable
117,q1,inseguridad; economia_costo_de_vida; desigualdad_pobreza
118,q1,deterioro_retroceso; inseguridad
119,q1,economia_costo_de_vida; desigualdad_pobreza
120,q1,estancamiento; economia_costo_de_vida
121,q1,no_clasificable
122,q1,inseguridad; estancamiento; perdida_de_valores_convivencia
123,q1,desigualdad_pobreza; estancamiento; perdida_de_valores_convivencia
124,q1,deterioro_retroceso; inseguridad; economia_costo_de_vida
125,q1,desigualdad_pobreza; economia_costo_de_vida
126,q1,deterioro_retroceso; inseguridad; perdida_de_valores_convivencia
127,q1,deterioro_retroceso; economia_costo_de_vida; inseguridad
128,q1,deterioro_retroceso; inseguridad; desigualdad_pobreza
129,q1,estabilidad_valorada
130,q1,perdida_de_valores_convivencia; servicios_publicos_deficientes
131,q1,deterioro_retroceso; inseguridad; desigualdad_pobreza
132,q1,avances_positivos; desigualdad_pobreza; inseguridad
133,q1,perdida_de_valores_convivencia; estancamiento
134,q1,estancamiento; perdida_de_valores_convivencia
135,q1,no_clasificable
136,q1,no_clasificable; estancamiento
137,q1,inseguridad; economia_costo_de_vida; avances_positivos
138,q1,inseguridad; economia_costo_de_vida; desigualdad_pobreza
139,q1,perdida_de_valores_convivencia; estancamiento
140,q1,inseguridad; economia_costo_de_vida; servicios_publicos_deficientes
141,q1,inseguridad; perdida_de_valores_convivencia; estancamiento
142,q1,estabilidad_valorada; inseguridad
143,q1,estabilidad_valorada; avances_positivos; economia_costo_de_vida
144,q1,inseguridad; estancamiento
145,q1,economia_costo_de_vida; desigualdad_pobreza
146,q1,inseguridad; economia_costo_de_vida
147,q1,perdida_de_valores_convivencia; inseguridad; desigualdad_pobreza
148,q1,desigualdad_pobreza; economia_costo_de_vida
149,q1,estabilidad_valorada; economia_costo_de_vida; inseguridad
150,q1,deterioro_retroceso; estancamiento
1,q2,tranquilidad_economica; trabajo_e_ingreso_suficiente
2,q2,necesidades_basicas_cubiertas; vivienda_digna; trabajo_e_ingreso_suficiente
3,q2,tranquilidad_economica; vivienda_digna
4,q2,autonomia_y_proyecto_propio; trabajo_e_ingreso_suficiente; educacion
6,q2,autonomia_y_proyecto_propio; necesidades_basicas_cubiertas
7,q2,autonomia_y_proyecto_propio; vivienda_digna; seguridad
8,q2,vinculos_y_familia; necesidades_basicas_cubiertas; trabajo_e_ingreso_suficiente
9,q2,necesidades_basicas_cubiertas; tranquilidad_economica
10,q2,trabajo_e_ingreso_suficiente; necesidades_basicas_cubiertas; vivienda_digna
11,q2,trabajo_e_ingreso_suficiente; salud
12,q2,trabajo_e_ingreso_suficiente; tiempo_libre_y_disfrute; seguridad
13,q2,vivienda_digna; necesidades_basicas_cubiertas; vinculos_y_familia
14,q2,tranquilidad_economica; trabajo_e_ingreso_suficiente; necesidades_basicas_cubiertas
15,q2,vivienda_digna; educacion; trabajo_e_ingreso_suficiente
16,q2,autonomia_y_proyecto_propio; salud; educacion
17,q2,trabajo_e_ingreso_suficiente; vivienda_digna; educacion
19,q2,trabajo_e_ingreso_suficiente; vivienda_digna; salud
20,q2,salud; necesidades_basicas_cubiertas; tiempo_libre_y_disfrute
21,q2,necesidades_basicas_cubiertas; educacion; salud
22,q2,trabajo_e_ingreso_suficiente; necesidades_basicas_cubiertas
23,q2,autonomia_y_proyecto_propio; salud; educacion
24,q2,trabajo_e_ingreso_suficiente; tiempo_libre_y_disfrute; vinculos_y_familia
25,q2,trabajo_e_ingreso_suficiente; tranquilidad_economica; vivienda_digna
26,q2,tranquilidad_economica; trabajo_e_ingreso_suficiente; no_clasificable
27,q2,seguridad; trabajo_e_ingreso_suficiente; educacion
28,q2,tranquilidad_economica; vivienda_digna; vinculos_y_familia
29,q2,tranquilidad_economica; necesidades_basicas_cubiertas; trabajo_e_ingreso_suficiente
30,q2,trabajo_e_ingreso_suficiente; necesidades_basicas_cubiertas
31,q2,trabajo_e_ingreso_suficiente; salud; vinculos_y_familia
32,q2,salud; vivienda_digna; trabajo_e_ingreso_suficiente
33,q2,tranquilidad_economica; seguridad; no_clasificable
34,q2,salud; necesidades_basicas_cubiertas
35,q2,trabajo_e_ingreso_suficiente; vivienda_digna; tiempo_libre_y_disfrute
36,q2,seguridad; trabajo_e_ingreso_suficiente; salud
37,q2,tiempo_libre_y_disfrute; seguridad; salud
38,q2,trabajo_e_ingreso_suficiente; necesidades_basicas_cubiertas; educacion
39,q2,trabajo_e_ingreso_suficiente; vivienda_digna; necesidades_basicas_cubiertas
40,q2,vivienda_digna; tranquilidad_economica; trabajo_e_ingreso_suficiente
41,q2,necesidades_basicas_cubiertas
42,q2,trabajo_e_ingreso_suficiente; necesidades_basicas_cubiertas; tiempo_libre_y_disfrute
43,q2,trabajo_e_ingreso_suficiente; autonomia_y_proyecto_propio
44,q2,necesidades_basicas_cubiertas; vivienda_digna
45,q2,vinculos_y_familia; autonomia_y_proyecto_propio; no_clasificable
46,q2,tranquilidad_economica; vivienda_digna; vinculos_y_familia
47,q2,vivienda_digna; seguridad; necesidades_basicas_cubiertas
48,q2,trabajo_e_ingreso_suficiente; tiempo_libre_y_disfrute; necesidades_basicas_cubiertas
49,q2,trabajo_e_ingreso_suficiente; tranquilidad_economica; salud
50,q2,trabajo_e_ingreso_suficiente; salud
51,q2,trabajo_e_ingreso_suficiente; educacion; seguridad
52,q2,autonomia_y_proyecto_propio; seguridad; vinculos_y_familia
53,q2,vinculos_y_familia; seguridad; no_clasificable
54,q2,seguridad; trabajo_e_ingreso_suficiente; no_clasificable
55,q2,tranquilidad_economica; tiempo_libre_y_disfrute; vivienda_digna
56,q2,trabajo_e_ingreso_suficiente; vivienda_digna; salud
57,q2,tranquilidad_economica; seguridad; trabajo_e_ingreso_suficiente
58,q2,salud; no_clasificable
59,q2,no_clasificable
60,q2,autonomia_y_proyecto_propio; trabajo_e_ingreso_suficiente; vivienda_digna
61,q2,vinculos_y_familia; tiempo_libre_y_disfrute; tranquilidad_economica
62,q2,tranquilidad_economica; salud; vinculos_y_familia
64,q2,trabajo_e_ingreso_suficiente; vivienda_digna
65,q2,tranquilidad_economica; tiempo_libre_y_disfrute; autonomia_y_proyecto_propio
66,q2,trabajo_e_ingreso_suficiente; vinculos_y_familia; necesidades_basicas_cubiertas
67,q2,tranquilidad_economica; salud; no_clasificable
68,q2,trabajo_e_ingreso_suficiente; seguridad; vivienda_digna
69,q2,trabajo_e_ingreso_suficiente; salud; tranquilidad_economica
71,q2,trabajo_e_ingreso_suficiente; tranquilidad_economica; tiempo_libre_y_disfrute
72,q2,trabajo_e_ingreso_suficiente; tranquilidad_economica
73,q2,tranquilidad_economica; trabajo_e_ingreso_suficiente
74,q2,vinculos_y_familia; necesidades_basicas_cubiertas
75,q2,trabajo_e_ingreso_suficiente; tranquilidad_economica
76,q2,trabajo_e_ingreso_suficiente; tranquilidad_economica; no_clasificable
77,q2,tranquilidad_economica; salud; tiempo_libre_y_disfrute
78,q2,salud; seguridad; tranquilidad_economica
79,q2,trabajo_e_ingreso_suficiente; autonomia_y_proyecto_propio; necesidades_basicas_cubiertas
80,q2,tranquilidad_economica; trabajo_e_ingreso_suficiente
81,q2,vinculos_y_familia; tranquilidad_economica; salud
82,q2,trabajo_e_ingreso_suficiente; tranquilidad_economica
83,q2,seguridad; trabajo_e_ingreso_suficiente; necesidades_basicas_cubiertas
84,q2,trabajo_e_ingreso_suficiente; vivienda_digna; seguridad
85,q2,trabajo_e_ingreso_suficiente; seguridad; salud
86,q2,vinculos_y_familia; salud
87,q2,autonomia_y_proyecto_propio; salud; vinculos_y_familia
88,q2,trabajo_e_ingreso_suficiente; salud; vinculos_y_familia
89,q2,trabajo_e_ingreso_suficiente; vivienda_digna; tiempo_libre_y_disfrute
90,q2,necesidades_basicas_cubiertas; tiempo_libre_y_disfrute
91,q2,trabajo_e_ingreso_suficiente; educacion; tiempo_libre_y_disfrute
92,q2,necesidades_basicas_cubiertas; tiempo_libre_y_disfrute
93,q2,trabajo_e_ingreso_suficiente; necesidades_basicas_cubiertas; vinculos_y_familia
94,q2,trabajo_e_ingreso_suficiente; seguridad; tranquilidad_economica
96,q2,trabajo_e_ingreso_suficiente; necesidades_basicas_cubiertas; autonomia_y_proyecto_propio
97,q2,necesidades_basicas_cubiertas; trabajo_e_ingreso_suficiente
99,q2,autonomia_y_proyecto_propio; tranquilidad_economica; vinculos_y_familia
100,q2,autonomia_y_proyecto_propio; trabajo_e_ingreso_suficiente; tiempo_libre_y_disfrute
101,q2,autonomia_y_proyecto_propio; vivienda_digna; educacion
102,q2,trabajo_e_ingreso_suficiente; necesidades_basicas_cubiertas; salud
103,q2,trabajo_e_ingreso_suficiente; educacion; salud
104,q2,trabajo_e_ingreso_suficiente; salud; tranquilidad_economica
105,q2,vivienda_digna; trabajo_e_ingreso_suficiente; vinculos_y_familia
106,q2,autonomia_y_proyecto_propio; vinculos_y_familia; tranquilidad_economica
107,q2,salud; trabajo_e_ingreso_suficiente
108,q2,seguridad; tranquilidad_economica; necesidades_basicas_cubiertas
109,q2,autonomia_y_proyecto_propio; trabajo_e_ingreso_suficiente; necesidades_basicas_cubiertas
110,q2,necesidades_basicas_cubiertas; trabajo_e_ingreso_suficiente
111,q2,autonomia_y_proyecto_propio; seguridad; trabajo_e_ingreso_suficiente
112,q2,autonomia_y_proyecto_propio; vinculos_y_familia; seguridad
113,q2,educacion; trabajo_e_ingreso_suficiente; salud
114,q2,vinculos_y_familia; trabajo_e_ingreso_suficiente; salud
116,q2,vivienda_digna; trabajo_e_ingreso_suficiente
117,q2,tiempo_libre_y_disfrute; trabajo_e_ingreso_suficiente; vivienda_digna
118,q2,tranquilidad_economica; necesidades_basicas_cubiertas
119,q2,tranquilidad_economica; salud; vinculos_y_familia
120,q2,tranquilidad_economica; seguridad
121,q2,trabajo_e_ingreso_suficiente; vivienda_digna; salud
122,q2,tranquilidad_economica; salud
123,q2,tranquilidad_economica; vinculos_y_familia; autonomia_y_proyecto_propio
124,q2,trabajo_e_ingreso_suficiente; tranquilidad_economica; no_clasificable
125,q2,trabajo_e_ingreso_suficiente; necesidades_basicas_cubiertas; salud
126,q2,trabajo_e_ingreso_suficiente; educacion; seguridad
127,q2,trabajo_e_ingreso_suficiente; seguridad
128,q2,trabajo_e_ingreso_suficiente; salud
129,q2,tranquilidad_economica; salud
130,q2,tranquilidad_economica; vinculos_y_familia
131,q2,trabajo_e_ingreso_suficiente; tiempo_libre_y_disfrute; necesidades_basicas_cubiertas
132,q2,trabajo_e_ingreso_suficiente; seguridad; no_clasificable
133,q2,trabajo_e_ingreso_suficiente; tiempo_libre_y_disfrute; vivienda_digna
135,q2,no_clasificable
136,q2,necesidades_basicas_cubiertas; vivienda_digna; salud
137,q2,trabajo_e_ingreso_suficiente; vivienda_digna; educacion
138,q2,tranquilidad_economica; trabajo_e_ingreso_suficiente; seguridad
139,q2,tiempo_libre_y_disfrute; salud
140,q2,trabajo_e_ingreso_suficiente; educacion; vinculos_y_familia
141,q2,trabajo_e_ingreso_suficiente; necesidades_basicas_cubiertas; autonomia_y_proyecto_propio
142,q2,trabajo_e_ingreso_suficiente; seguridad; no_clasificable
143,q2,trabajo_e_ingreso_suficiente; vivienda_digna; necesidades_basicas_cubiertas
144,q2,tranquilidad_economica; necesidades_basicas_cubiertas; seguridad
145,q2,tiempo_libre_y_disfrute; salud; vinculos_y_familia
146,q2,seguridad; tiempo_libre_y_disfrute; trabajo_e_ingreso_suficiente
147,q2,autonomia_y_proyecto_propio; seguridad; no_clasificable
148,q2,seguridad; necesidades_basicas_cubiertas
149,q2,educacion; trabajo_e_ingreso_suficiente; vivienda_digna
150,q2,tranquilidad_economica; seguridad
1,q3,deporte_y_ejercicio; familia_y_vinculos
2,q3,salir_pasear_viajar; barrera_economica
3,q3,trabajo_o_estudio
4,q3,lectura; familia_y_vinculos; salir_pasear_viajar
6,q3,descanso; naturaleza_y_aire_libre; lectura
7,q3,pantallas_series_redes; no_clasificable
8,q3,pantallas_series_redes; deporte_y_ejercicio; salir_pasear_viajar
9,q3,no_clasificable
10,q3,tareas_domesticas_y_cuidados; familia_y_vinculos; salir_pasear_viajar
11,q3,deporte_y_ejercicio; trabajo_o_estudio
12,q3,pantallas_series_redes; deporte_y_ejercicio
13,q3,pantallas_series_redes; deporte_y_ejercicio
14,q3,familia_y_vinculos; tareas_domesticas_y_cuidados; salir_pasear_viajar
15,q3,familia_y_vinculos; barrera_de_tiempo
16,q3,naturaleza_y_aire_libre; lectura; familia_y_vinculos
17,q3,descanso; barrera_economica
19,q3,naturaleza_y_aire_libre; lectura; tareas_domesticas_y_cuidados
20,q3,naturaleza_y_aire_libre; deporte_y_ejercicio
21,q3,pantallas_series_redes; deporte_y_ejercicio
22,q3,naturaleza_y_aire_libre; salir_pasear_viajar
23,q3,trabajo_o_estudio; lectura; tareas_domesticas_y_cuidados
24,q3,salir_pasear_viajar; naturaleza_y_aire_libre
26,q3,tareas_domesticas_y_cuidados; salir_pasear_viajar; barrera_de_tiempo
27,q3,trabajo_o_estudio; barrera_economica; barrera_de_tiempo
28,q3,barrera_de_tiempo; trabajo_o_estudio
29,q3,barrera_de_tiempo; barrera_economica; salir_pasear_viajar
30,q3,familia_y_vinculos; descanso
31,q3,deporte_y_ejercicio; pantallas_series_redes; familia_y_vinculos
32,q3,salir_pasear_viajar; naturaleza_y_aire_libre
33,q3,descanso; barrera_economica
34,q3,trabajo_o_estudio; descanso; no_clasificable
35,q3,familia_y_vinculos; salir_pasear_viajar
36,q3,naturaleza_y_aire_libre; familia_y_vinculos
37,q3,trabajo_o_estudio; naturaleza_y_aire_libre; tareas_domesticas_y_cuidados
38,q3,descanso; lectura; familia_y_vinculos
39,q3,familia_y_vinculos; salir_pasear_viajar
40,q3,familia_y_vinculos; salir_pasear_viajar
41,q3,salir_pasear_viajar; barrera_economica
42,q3,familia_y_vinculos; tareas_domesticas_y_cuidados
43,q3,trabajo_o_estudio
44,q3,deporte_y_ejercicio; pantallas_series_redes
45,q3,familia_y_vinculos; deporte_y_ejercicio; barrera_de_tiempo
46,q3,familia_y_vinculos; descanso
47,q3,pantallas_series_redes; tareas_domesticas_y_cuidados
48,q3,salir_pasear_viajar; deporte_y_ejercicio
49,q3,naturaleza_y_aire_libre; deporte_y_ejercicio
50,q3,familia_y_vinculos; descanso
51,q3,trabajo_o_estudio; salir_pasear_viajar
52,q3,naturaleza_y_aire_libre; lectura; familia_y_vinculos
53,q3,familia_y_vinculos; deporte_y_ejercicio; salir_pasear_viajar
54,q3,familia_y_vinculos; barrera_economica
55,q3,deporte_y_ejercicio; trabajo_o_estudio; barrera_economica
56,q3,lectura; familia_y_vinculos
57,q3,tareas_domesticas_y_cuidados; descanso
58,q3,trabajo_o_estudio
59,q3,pantallas_series_redes; naturaleza_y_aire_libre
60,q3,salir_pasear_viajar; naturaleza_y_aire_libre; familia_y_vinculos
61,q3,lectura; deporte_y_ejercicio
62,q3,salir_pasear_viajar; tareas_domesticas_y_cuidados; deporte_y_ejercicio
64,q3,trabajo_o_estudio; barrera_economica
65,q3,tareas_domesticas_y_cuidados; salir_pasear_viajar; descanso
67,q3,salir_pasear_viajar; barrera_economica
68,q3,barrera_de_tiempo; familia_y_vinculos
69,q3,familia_y_vinculos; salir_pasear_viajar
71,q3,salir_pasear_viajar; familia_y_vinculos
72,q3,pantallas_series_redes; descanso
73,q3,barrera_economica; naturaleza_y_aire_libre
76,q3,trabajo_o_estudio; salir_pasear_viajar; barrera_economica
77,q3,trabajo_o_estudio; no_clasificable
78,q3,trabajo_o_estudio; no_clasificable
79,q3,deporte_y_ejercicio; lectura
80,q3,naturaleza_y_aire_libre; deporte_y_ejercicio
81,q3,salir_pasear_viajar; naturaleza_y_aire_libre
82,q3,naturaleza_y_aire_libre; familia_y_vinculos
83,q3,descanso
84,q3,familia_y_vinculos; salir_pasear_viajar
85,q3,familia_y_vinculos; descanso
86,q3,pantallas_series_redes
87,q3,naturaleza_y_aire_libre; lectura; pantallas_series_redes
88,q3,deporte_y_ejercicio; salir_pasear_viajar
89,q3,salir_pasear_viajar; familia_y_vinculos; naturaleza_y_aire_libre
91,q3,salir_pasear_viajar; naturaleza_y_aire_libre
92,q3,deporte_y_ejercicio; descanso
93,q3,lectura; salir_pasear_viajar; no_clasificable
94,q3,salir_pasear_viajar; lectura; naturaleza_y_aire_libre
96,q3,familia_y_vinculos; lectura; salir_pasear_viajar
97,q3,naturaleza_y_aire_libre; salir_pasear_viajar
99,q3,pantallas_series_redes; salir_pasear_viajar
100,q3,tareas_domesticas_y_cuidados; descanso; pantallas_series_redes
101,q3,descanso; deporte_y_ejercicio; salir_pasear_viajar
102,q3,salir_pasear_viajar; pantallas_series_redes
103,q3,familia_y_vinculos; lectura; tareas_domesticas_y_cuidados
104,q3,lectura; salir_pasear_viajar
105,q3,naturaleza_y_aire_libre; lectura; barrera_de_tiempo
106,q3,familia_y_vinculos; pantallas_series_redes; salir_pasear_viajar
107,q3,salir_pasear_viajar; trabajo_o_estudio
108,q3,familia_y_vinculos; descanso; no_clasificable
109,q3,trabajo_o_estudio; familia_y_vinculos
110,q3,trabajo_o_estudio; no_clasificable
111,q3,familia_y_vinculos; lectura; salir_pasear_viajar
112,q3,deporte_y_ejercicio; pantallas_series_redes; barrera_economica
113,q3,pantallas_series_redes; salir_pasear_viajar
114,q3,tareas_domesticas_y_cuidados; pantallas_series_redes
116,q3,no_clasificable
117,q3,deporte_y_ejercicio; lectura; naturaleza_y_aire_libre
118,q3,salir_pasear_viajar; barrera_economica
120,q3,familia_y_vinculos; pantallas_series_redes
121,q3,familia_y_vinculos; salir_pasear_viajar
122,q3,familia_y_vinculos; salir_pasear_viajar
123,q3,naturaleza_y_aire_libre; lectura; pantallas_series_redes
124,q3,barrera_economica; deporte_y_ejercicio; salir_pasear_viajar
125,q3,barrera_economica; naturaleza_y_aire_libre
126,q3,familia_y_vinculos; descanso
127,q3,salir_pasear_viajar; no_clasificable
128,q3,tareas_domesticas_y_cuidados; salir_pasear_viajar
129,q3,salir_pasear_viajar; lectura; naturaleza_y_aire_libre
130,q3,pantallas_series_redes; deporte_y_ejercicio
131,q3,deporte_y_ejercicio; salir_pasear_viajar; barrera_de_tiempo
132,q3,trabajo_o_estudio; descanso; barrera_de_tiempo
133,q3,descanso; tareas_domesticas_y_cuidados; salir_pasear_viajar
135,q3,no_clasificable
136,q3,salir_pasear_viajar; deporte_y_ejercicio; familia_y_vinculos
137,q3,familia_y_vinculos; salir_pasear_viajar; naturaleza_y_aire_libre
138,q3,trabajo_o_estudio; barrera_de_tiempo
139,q3,deporte_y_ejercicio; familia_y_vinculos
140,q3,salir_pasear_viajar; trabajo_o_estudio
141,q3,salir_pasear_viajar; naturaleza_y_aire_libre; deporte_y_ejercicio
142,q3,familia_y_vinculos; salir_pasear_viajar
143,q3,deporte_y_ejercicio; salir_pasear_viajar; lectura
144,q3,familia_y_vinculos; trabajo_o_estudio; no_clasificable
145,q3,familia_y_vinculos; deporte_y_ejercicio; salir_pasear_viajar
146,q3,naturaleza_y_aire_libre; salir_pasear_viajar
147,q3,deporte_y_ejercicio; tareas_domesticas_y_cuidados; barrera_de_tiempo
148,q3,salir_pasear_viajar; naturaleza_y_aire_libre
149,q3,naturaleza_y_aire_libre; salir_pasear_viajar; trabajo_o_estudio
150,q3,naturaleza_y_aire_libre; pantallas_series_redes
1,q5,no_clasificable
2,q5,sostenibilidad_ambiental; igualdad_y_distribucion
3,q5,respuesta_tautologica
4,q5,igualdad_y_distribucion; bienestar_y_calidad_de_vida
6,q5,bienestar_y_calidad_de_vida; igualdad_y_distribucion
7,q5,derechos_y_oportunidades; sostenibilidad_ambiental
8,q5,igualdad_y_distribucion; bienestar_y_calidad_de_vida
9,q5,economia_produccion_empleo; igualdad_y_distribucion
10,q5,bienestar_y_calidad_de_vida; igualdad_y_distribucion
11,q5,respuesta_tautologica
12,q5,economia_produccion_empleo; no_clasificable
13,q5,economia_produccion_empleo; bienestar_y_calidad_de_vida; igualdad_y_distribucion
15,q5,igualdad_y_distribucion; bienestar_y_calidad_de_vida; derechos_y_oportunidades
16,q5,las_tres_van_juntas; igualdad_y_distribucion; bienestar_y_calidad_de_vida
17,q5,sostenibilidad_ambiental; derechos_y_oportunidades
19,q5,economia_produccion_empleo; bienestar_y_calidad_de_vida
20,q5,sostenibilidad_ambiental; igualdad_y_distribucion; derechos_y_oportunidades
21,q5,sostenibilidad_ambiental; igualdad_y_distribucion
22,q5,igualdad_y_distribucion; bienestar_y_calidad_de_vida; economia_produccion_empleo
23,q5,igualdad_y_distribucion; bienestar_y_calidad_de_vida
24,q5,respuesta_tautologica
26,q5,no_clasificable
27,q5,sostenibilidad_ambiental; bienestar_y_calidad_de_vida
28,q5,respuesta_tautologica
29,q5,economia_produccion_empleo; igualdad_y_distribucion; rol_del_estado
30,q5,no_clasificable
31,q5,igualdad_y_distribucion; bienestar_y_calidad_de_vida
32,q5,igualdad_y_distribucion; economia_produccion_empleo; bienestar_y_calidad_de_vida
33,q5,respuesta_tautologica; igualdad_y_distribucion
34,q5,no_clasificable
35,q5,igualdad_y_distribucion; economia_produccion_empleo
36,q5,economia_produccion_empleo; bienestar_y_calidad_de_vida
37,q5,igualdad_y_distribucion; derechos_y_oportunidades; sostenibilidad_ambiental
38,q5,igualdad_y_distribucion; economia_produccion_empleo
39,q5,economia_produccion_empleo; igualdad_y_distribucion
40,q5,bienestar_y_calidad_de_vida; igualdad_y_distribucion
41,q5,no_clasificable
42,q5,economia_produccion_empleo; bienestar_y_calidad_de_vida
43,q5,sostenibilidad_ambiental; igualdad_y_distribucion
