pregunta,etiqueta,descripcion
Q6,control_y_cumplimiento_de_la_ley,"Hacer cumplir la ley, regular conductas, fiscalizar."
Q6,regulacion_de_la_economia,"Regular mercados, precios, trabajo o la actividad económica."
Q6,provision_de_servicios_y_empresas_publicas,Brindar servicios o sostener empresas públicas.
Q6,administrar_y_organizar,"Administrar el territorio, organizar, dirigir, planificar."
Q6,soberania_y_defensa,"Defender la soberanía, las fronteras o el territorio."
Q6,estado_minimo,Sostiene que el Estado debería limitarse a lo básico o reducir su tamaño.
Q6,no_clasificable,"Respuesta vacía, evasiva, tautológica o que no responde la pregunta."
Q7,presente_y_protector,"Estado presente, benefactor, que se ocupa de la población."
Q7,ausente_o_insuficiente,"Estado que no llega, que dejó de garantizar derechos o está omiso."
Q7,sobredimensionado_y_burocratico,"Demasiado grande, exceso de empleados públicos, burocracia, duplicación de funciones."
Q7,ineficiente_o_mal_gestionado,Tiene recursos pero los usa mal; mala gestión o mala administración.
Q7,servicios_de_calidad,"Destaca la calidad de servicios públicos concretos, como salud o educación."
Q7,tradicion_democratica,"Valora la tradición democrática, institucional o el respeto a las reglas."
Q7,gasto_excesivo,"Señala el costo fiscal, el gasto o la presión impositiva que implica."
Q7,no_hace_cumplir_la_ley,Señala impunidad o que el Estado no hace respetar la ley.
Q7,valoracion_negativa_generica,Descalificación global sin especificar en qué falla.
Q7,valoracion_ambivalente,Combina aspectos positivos y negativos sin predominio claro.
Q7,no_clasificable,"Respuesta vacía, evasiva, tautológica o que no responde la pregunta."
Q8,diferencias_economicas_e_ingresos,"Piensa en diferencias de ingreso, riqueza o nivel económico."
Q8,pobreza,Piensa directamente en la pobreza o la miseria.
Q8,oportunidades_y_acceso,"Piensa en el acceso desigual a oportunidades, bienes o servicios."
Q8,infancia_y_adolescencia,"Piensa en niños, niñas o adolescentes en desventaja."
Q8,injusticia,"Nombra la desigualdad como injusticia o algo indeseable, en clave valorativa."
Q8,poder_y_clases,"Piensa en el poder, las clases dominantes o quién decide."
Q8,educacion,Piensa en la educación como eje de la desigualdad.
Q8,genero,Piensa en desigualdades de género.
Q8,exclusion_y_marginacion,"Piensa en gente en la calle, barrios marginados o quedar fuera del sistema."
Q8,cuestiona_el_concepto,"Relativiza o niega la desigualdad: depende del esfuerzo de cada uno, no hay barreras."
Q8,no_clasificable,"Respuesta vacía, evasiva, tautológica o que no responde la pregunta."
Q9,ingresos_salarios_jubilaciones,"Brechas de salarios, ingresos o jubilaciones entre sectores."
Q9,acceso_a_la_educacion,Desigualdad en el acceso o la calidad educativa.
Q9,acceso_a_la_salud,Desigualdad en el acceso a la salud.
Q9,empleo_y_mercado_laboral,Desigualdad en el acceso al empleo o en las condiciones de trabajo.
Q9,vivienda_y_habitat,"Desigualdad en vivienda, infraestructura o condiciones del entorno."
Q9,territorial,"Diferencias entre barrios, entre Montevideo y el interior, o entre zonas del país."
Q9,genero,"Desigualdad de género, incluida la carga de cuidados."
Q9,etnico_racial,Desigualdad por ascendencia étnico-racial.
Q9,distribucion_de_riqueza_y_poder,Concentración de riqueza o de poder político y económico.
Q9,cuestiona_politicas_afirmativas,Señala como desigualdad a los cupos o políticas dirigidas a grupos específicos.
Q9,no_clasificable,"Respuesta vacía, evasiva, tautológica o que no responde la pregunta."
