numero,caso_id,q1,codigo_q1,codigo_q1_rev,q2,codigo_q2,codigo_q2_rev,q3,codigo_q3,codigo_q3_rev,q5,codigo_q5,codigo_q5_rev,q6,codigo_q6,codigo_q6_rev,q7,codigo_q7,codigo_q7_rev,q8,codigo_q8,codigo_q8_rev,q9,codigo_q9,codigo_q9_rev
59898221536,421163650,Lo veo estable con respecto a la región pero sin soberanía  descuidando sus recursos y exonerando de impuestos donde no corresponde. Sin un rumbo certero en varios temas.,estabilidad_valorada; estancamiento,NA,Significa tener resueltas las necesidades Básicas para sobrevivir y poder darse un lujo cada tanto,necesidades_basicas_cubiertas; tiempo_libre_y_disfrute,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59896712258,421196492,La verdad nada bien hace varios años estamos siempre en lq misma situación,estancamiento; deterioro_retroceso,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59897277970,421148392,Lo veo mal  estancado  atrasado  caro  feo  gris  opaco. Políticamente sin entusiasmo en ningún partido  socialmente pálido.,estancamiento; economia_costo_de_vida; inseguridad,NA,Una buena vida significa para mí poder desarrollarme personal y laboralmente sin la preocupación de no poder conseguir el sustento mínimo suficiente requerido para ello  para mí y mi familia.,trabajo_e_ingreso_suficiente; autonomia_y_proyecto_propio; necesidades_basicas_cubiertas,NA,Me gusta hacer deporte y tocar la guitarra como hobby  me gustaría tener tiempo para leer más.,deporte_y_ejercicio; lectura,NA,Creo que sí se dan las condiciones de la 1 el resto se da por si solo. Las personas que no se preocupan por llegar a fin de mes. Se pueden ocupar del medio ambiente.,igualdad_y_distribucion; sostenibilidad_ambiental,NA,Veo al estado como administradores de los bienes públicos  no creo en ser hincha de banderas ni corrientes políticas. Creo a los funcionarios como lo que son  y como el ciudadano de a pie si no cumple con su trabajo deben ser reemplazados.,administrar_y_organizar; control_y_cumplimiento_de_la_ley,NA,Vetusto  con olor a viejo. Mucha tradición romántica  apellidos de falsa nobleza. Las mismas caras siempre.,no_clasificable,NA,Pienso en el Marconi y punta del este,exclusion_y_marginacion,NA,La educación pública y privada. Seguridad y servicios por barrio,acceso_a_la_educacion; territorial,NA
59899178178,421149729,Dificil,no_clasificable,NA,Tener trabajo y un lugar digno donde vivir,vivienda_digna; trabajo_e_ingreso_suficiente,NA,Soy jubilada  por lo tanto tengo tiempo libre,no_clasificable,NA,Por que creo que un país debería ser así,respuesta_tautologica; no_clasificable,NA,Velar por su población que pueda vivir de su trabajo  sin violencia y en igualdad de condiciones sin importar su estatus social,reducir_desigualdades; seguridad_y_justicia; garantizar_derechos_sociales,NA,Creo que el estado se ocupa del bienestar de su población  salud  educación  leyes,presente_y_protector; servicios_de_calidad,NA,La gente que vive en la calle,exclusion_y_marginacion; pobreza,NA,La diferencia entre hombres y mujeres en el tema salarios  ascensos,genero; ingresos_salarios_jubilaciones,NA
59891882104,421146375,El Uruguay de hoy atraviesa un momento interesante  marcado por un contraste de estabilidad histórica frente a retos económicos y sociales que están muy presentes en el día a día.,economia_costo_de_vida; desigualdad_pobreza,NA,Uruguay sigue siendo un país caro. El costo de vida  el precio de la canasta básica y la presión impositiva impactan fuerte en la economía familiar y en los pequeños emprendimientos  exigiendo un esfuerzo diario alto para sostener la rentabilidad o llegar a fin de mes.,tranquilidad_economica; trabajo_e_ingreso_suficiente; necesidades_basicas_cubiertas,NA,"Cuando tengo tiempo libre, con mayor frecuencia lo que hago generalmente es dejar toda mi casa limpia, hablar con mis amigas a ver si podemos juntarnos a merendar o a cenar, ver si puedo ir a tomar un helado con mi hijo, jugar a las cartas, más que nada eso.",familia_y_vinculos; tareas_domesticas_y_cuidados; salir_pasear_viajar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59899520211,421147403,Veo mi pobre país cayendo día  en lo económico  cantidad de gente que se está fundiendo trabajando  en seguridad  total desastre  no tenemos presidente  no tenemos ministro del interior  no tenemos ministro de economia ni de ganaderia. Los valores se han perdido y glorifican eso  dejó de importar el pueblo y piensan en su bienestar,deterioro_retroceso; inseguridad; perdida_de_valores_convivencia,NA,Poder trabajar para solventar una vida digna  poder dar una buena educación a mis hijos  vivir en tranquilidad cosa que ya se perdió en Uruguay.,trabajo_e_ingreso_suficiente; educacion; seguridad,NA,Disfrutar de la familia  compartir momentos con ellos,familia_y_vinculos; descanso,NA,El trabajo dignifica  si la gente tiene trabajo  buena salud  un Estado que apunta al crecimiento  a la busqueda de inversiones  hace que la gente apueste al crecimiento también,economia_produccion_empleo; igualdad_y_distribucion,NA,Para velar por el bien de los ciudadanos  hacer respetar las leyes  impartir justicia SEGURIDAD  salud  educación y lo más importante utilizar en forma adecuada los recursos  no usarlo para el bienestar individual y sobretodo el derroche innecesario de los mismos,control_y_cumplimiento_de_la_ley; seguridad_y_justicia; garantizar_derechos_sociales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59895834409,421150461,Con respecto a la economía lo veo con una transición y estabilidad moderada.nCon respecto a la seguridad muy inestable y con nuevas modalidades delictivas.nCon respecto a la educación creo que enfrenta profundos desafíos estructurales  gran ausentismo y brechas de egreso socioeconómicas entre algunas cosas.nCon respecto a lo social hay desafíos claves hay una gran incidencia en la pobreza infantil que es mucho más alta que en adultos mayores  problemas de Carencias en lo que concierne a vivienda saneamiento y clima educativo nEl costo de vida alto con un empleo escaso aveces informal o baja salarial lo que dificulta el ahorro familiar.nCon respecto a la sanidad creo que tiene un sistema de cobertura universal estable pero enfrenta desafíos como ser tiempo de espera para consultas  tensión financiera en el ámbito privado (algunas mutualistas). Y enfrenta virus que están circulando,desigualdad_pobreza; economia_costo_de_vida; servicios_publicos_deficientes,NA,Para mí tener una buena vida significa tener un equilibrio entre la paz mental la salud el bienestar emocional  Buenos vínculos y tranquilidad financiera,tranquilidad_economica; salud; vinculos_y_familia,NA,Cuando dispongo de tiempo libre busco opciones que me brinden relax puede ser pasear  leer dedicarme cuidados ya sea de la piel o fisioterapias o ejercicios  para ayudarme a estar mejor o hacer cambios en lo que se refiere a la decoración del hogar o cocinar.nLo que más me gustaría hacer poder pasear con más frecuencia.,salir_pasear_viajar; tareas_domesticas_y_cuidados; deporte_y_ejercicio,NA,Porque creo que encierra a las otras dos opciones así que me pareció más amplia,las_tres_van_juntas; igualdad_y_distribucion,NA,Es importante para mí para garantizar la justicia el bienestar común organiza a una sociedad para la convivencia y derechos básicos  entre algunas cosas,seguridad_y_justicia; garantizar_derechos_sociales,NA,El estado uruguayo es una República democrática.nCon respecto a la sociedad enfrenta diferentes debates.nOfrece: derechos civiles y socialesnOfrece servicios públicos  educación  sanidad info comunicaciones y energia y mas,tradicion_democratica; presente_y_protector,NA,Lo primero que me viene a la mente es la pobreza infantil la brecha que hay de desigualdad de ingresos en los hogares y la diferencia de oportunidades según el lugar donde uno resida,infancia_y_adolescencia; diferencias_economicas_e_ingresos; oportunidades_y_acceso,NA,En Uruguay pobreza infantil brecha de desigualdad de ingresos y oportunidades,ingresos_salarios_jubilaciones; acceso_a_la_educacion,NA
59891281994,420623657,Económica  politica y socialmente estable respecto a la región y al mundo. Sin embrago  con fuertes desafíos en el porvenir. Principalmente en calidad educativa  marginalidad  seguridad y pobreza infantil,desigualdad_pobreza; servicios_publicos_deficientes; estabilidad_valorada,NA,Poder vivir desde el deseo  desde las ganas. Para ello hay ciertas condiciones objetivas que son necesarias  como la posibilidad de recibir educacion  conseguir un empleo  tener tiempo libre  etc,autonomia_y_proyecto_propio; trabajo_e_ingreso_suficiente; educacion,NA,Cuando tengo tiempo usualmente leo  paseo y paso tiempo con vínculos cercanos. Esto es lo que me gusta hacer.,lectura; familia_y_vinculos; salir_pasear_viajar,NA,Porque el desarrollo es tal en cuanto permite que las personas puedan vivir mejor. La opción 1 refleja esa posibilidad (así como las 3),igualdad_y_distribucion; bienestar_y_calidad_de_vida,NA,Es importante que exista el Estado para reducir desigualdades  proteger y fomentar la paz  y otorgar bienes y servicios buenos para la vida de las personas. Sus funciones son: proveer de seguridad  brindar educacion  salud  ayudar económicamente a personas que lo necesitan  y lograr que las personas sean más felices,reducir_desigualdades; seguridad_y_justicia; garantizar_derechos_sociales,NA,Me parece un Estado presente que se encarga de muchas cosas deseables respecto a las tareas que un Estado debería cumplir. Sin embargo  podría ser más eficiente y llegar a lugares donde no está llegando (como las zonas marginadas),presente_y_protector; ineficiente_o_mal_gestionado,NA,Poco deseable para una sociedad democratica,injusticia; no_clasificable,NA,Que existan barrios marginados,territorial; ingresos_salarios_jubilaciones,NA
59899821941,421159202,"El Uruguay lo veo como un país sólido, los datos dan a entender tanto como de economía, salud, trabajo, sueldos, en que viene mejorando. El tema general que puede ser la seguridad lo entiendo en el contexto de lo que está sucediendo hoy justamente porque creo que se está ingresando para resolverlo y eso hace que se vea una situación muy difícil, pero creo que se ve y se puede resolver. Por supuesto que todo esto en un contexto de un mundo como está hoy y bueno, desgraciadamente uno no puede evitar compararlo con una Argentina, pero para ser un país chico de 3 millones y poco siento que el país está bien, siempre se puede estar mejor, pero está sólido.",estabilidad_valorada; avances_positivos; economia_costo_de_vida,NA,"Bueno, una buena vida es tener trabajo, tener un sueldo o tener jubilación correspondiente, tener una vivienda, poder alimentarse, hacer las cuatro comidas diarias y tener que te permita un mundo de disfrute o ocio de acuerdo a tu edad.",trabajo_e_ingreso_suficiente; vivienda_digna; necesidades_basicas_cubiertas,NA,"Bueno, tiempo libre, en esta situación que estoy jubilada, significa poder tener actividad física, poder acceder a distintos espacios recreativos que brinde la ciudad, poder viajar y leer. Tener facilidades para acceder hoy a distintas formas de la lectura y también al teatro y al cine.",deporte_y_ejercicio; salir_pasear_viajar; lectura,NA,"Porque plantea que si hay, tiene buenas condiciones de vida, quiere decir que seguramente eso hace a que están resueltas varios elementos básicos de la vida de las personas, pero fundamentalmente porque aparece la palabra desigualdad y eso pone a una población, una mirada de una población con igualdad. Creo que fundamentalmente por eso.",igualdad_y_distribucion; bienestar_y_calidad_de_vida,NA,Tarea del Estado es la educación  la salud  la seguridad  los cuidados   vivienda etc,garantizar_derechos_sociales; seguridad_y_justicia; provision_de_servicios_y_empresas_publicas,NA,"El Estado ocupa y ha ocupado un lugar muy importante, bueno, salvo los periodos dictatoriales, pero tiene un lugar relevante fundamentalmente a lo que hace a temas de educación, de educación global total, en el tema de salud, la definición en ese sentido, el tema de vivienda, pero también todo el tema de derechos que en el Uruguay se ha avanzado y bueno, tiene que haber un Estado fuerte como para respetar todas estas cosas. El cual como Estado se ha logrado y se ha avanzado.",presente_y_protector; tradicion_democratica,NA,"Lo primero que aparece es el tema de desigualdad y el tema de la pobreza, que claramente hace como a un sector que lo excluye totalmente de todos sus derechos.",pobreza; exclusion_y_marginacion,NA,"La desigualdad es no acceder a una vivienda digna, la desigualdad es no poder acceder a una buena educación, que de hecho hay desigualdades para acceder a una buena educación. Es tener, acceder a la salud con todas las posibilidades. Creo que vivienda ya lo nombré y a tener buenas remuneraciones.",ingresos_salarios_jubilaciones; acceso_a_la_educacion; vivienda_y_habitat,NA
59894296530,421146689,Estamos en una época bisagra. Hay muchas personas en situacion de vulnerabilidad pero la inflación esta estable,desigualdad_pobreza; economia_costo_de_vida,NA,Tener casa propia  cuentas pagas y capacidad de ahorro,vivienda_digna; tranquilidad_economica; trabajo_e_ingreso_suficiente,NA,Quedarme en mi casa disfrutando con mi familia. Viajar.,familia_y_vinculos; salir_pasear_viajar,NA,Porque es lo primero que se debe tener para que la calidad de vida sea buena,bienestar_y_calidad_de_vida; igualdad_y_distribucion,NA,Para todo. Los factores del poder del estado deben estar presente,no_clasificable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
